puma22,Percentage Eligible,Current Percentage Eligible,difference_percentage_aian,difference_percentage_asian,difference_percentage_black,difference_percentage_nhpi,difference_percentage_white,difference_percentage_hispanic,difference_percentage_veteran,difference_percentage_elderly,difference_percentage_disability
0101403,0.5,0.59,-9.99,-42.65,-10.98,0.0,-33.98,-4.41,-25.21,-16.14,-11.77
0101404,0.23,0.29,-54.76,-20.12,-18.67,0.0,-20.72,-22.39,-19.12,-15.06,-16.81
0101501,0.23,0.29,-12.57,-2.65,-9.62,,-21.87,-41.69,-12.21,-20.15,-11.52
0101502,0.29,0.36,-12.61,-2.15,-10.9,,-21.31,-37.09,-12.1,-21.26,-12.72
0101600,0.43,0.55,-9.35,0.0,-25.01,,-20.84,-3.11,-32.13,-27.35,-17.5
0101700,0.41,0.51,-20.52,0.0,-17.46,,-23.42,-15.76,-20.8,-22.27,-14.46
0101801,0.46,0.53,-45.27,-39.21,-9.86,,-15.95,-16.67,-12.21,-17.07,-7.63
0101802,0.46,0.52,-45.45,-39.28,-10.13,,-16.53,-16.05,-12.32,-17.45,-8.09
0101901,0.32,0.42,-55.15,0.0,-23.85,,-21.9,-8.5,-17.1,-24.46,-16.71
0102000,0.44,0.53,-11.36,-1.27,-10.81,-100.0,-19.57,-16.71,-9.72,-19.77,-11.92
0102101,0.39,0.48,0.0,-7.98,-21.87,,-12.87,-19.6,-41.47,-25.56,-16.43
0102201,0.46,0.54,-7.33,-6.93,-12.92,-100.0,-14.26,-9.31,-17.0,-16.58,-9.45
0102300,0.42,0.5,-24.5,-12.47,-7.12,0.0,-19.94,-22.68,-26.96,-19.14,-14.85
0102400,0.43,0.5,-19.76,-7.11,-7.71,0.0,-16.18,-18.78,-22.72,-16.38,-10.95
0102500,0.47,0.54,-10.8,-2.48,-9.36,-100.0,-13.78,-6.43,-11.21,-13.36,-6.38
0102600,0.51,0.61,-44.81,0.0,-12.15,,-16.73,-81.88,-27.51,-14.76,-12.69
0102701,0.27,0.34,-26.4,-8.22,-17.69,,-20.3,-22.81,-17.47,-18.81,-13.62
0102702,0.27,0.34,-26.55,-8.63,-17.66,,-20.31,-22.89,-17.43,-18.8,-13.62
0102801,0.43,0.51,-23.54,-19.44,-18.34,,-13.7,-4.34,-10.06,-19.39,-15.4
0102802,0.41,0.5,-19.0,-33.38,-11.88,,-20.2,-2.58,-14.26,-22.53,-18.06
0102803,0.51,0.58,0.0,-19.92,-8.17,,-19.41,0.0,-11.05,-11.37,-8.24
0200101,0.33,0.4,-12.8,-4.77,-11.59,,-21.67,-3.86,-50.85,-17.29,-12.63
0200102,0.29,0.3,-4.2,-3.89,-0.16,0.0,-5.88,-0.03,-2.14,-12.6,-0.09
0200200,0.39,0.43,-7.74,0.0,-3.14,0.0,-10.57,-2.9,-14.63,-13.59,-10.44
0200300,0.32,0.37,-19.55,-20.47,-8.7,0.0,-10.62,-11.85,-19.57,-19.48,-11.75
0200400,0.47,0.52,-5.03,-3.55,-39.35,,-18.93,-12.4,-3.92,-5.88,-8.25
0400101,0.27,0.33,-29.35,0.0,-23.42,,-18.97,-18.12,-10.53,-21.34,-17.03
0400102,0.31,0.38,-14.63,-7.65,-13.75,0.0,-17.23,-14.39,-26.23,-20.72,-12.43
0400103,0.44,0.5,-0.42,-16.6,-3.73,,-11.31,-11.7,-3.75,-10.93,-4.88
0400104,0.34,0.43,-38.84,-7.96,-24.48,0.0,-20.58,-8.94,-15.38,-29.46,-19.91
0400105,0.22,0.25,-21.13,-32.27,-12.85,0.0,-13.3,-7.51,-16.87,-21.32,-9.39
0400106,0.32,0.36,-20.19,-12.16,-7.08,0.0,-13.53,-9.92,-4.53,-14.86,-11.03
0400107,0.17,0.22,-20.1,-12.94,-10.2,,-27.09,-4.56,-15.63,-32.87,-22.72
0400108,0.31,0.34,0.0,-5.74,-5.28,,-9.86,-5.04,0.0,-9.97,-5.87
0400109,0.33,0.41,-8.5,-8.14,-27.39,,-21.3,-19.92,-10.94,-20.44,-16.41
0400110,0.18,0.23,0.0,0.0,-37.68,,-22.06,-21.45,-4.55,-27.83,-25.86
0400111,0.19,0.22,-7.85,-0.12,-0.29,,-13.75,-5.64,-9.75,-16.65,-1.49
0400112,0.15,0.18,0.0,-22.11,0.0,,-21.53,-21.44,-18.66,-20.05,-24.19
0400113,0.22,0.27,0.0,0.0,-18.41,,-22.28,-12.65,-7.48,-21.52,-12.93
0400114,0.35,0.42,0.0,-3.53,0.0,0.0,-17.66,-10.16,-26.26,-16.36,-9.06
0400115,0.42,0.51,-25.94,-25.21,-9.8,,-17.52,-17.69,-5.18,-25.26,-13.43
0400116,0.38,0.43,-16.79,-7.2,-12.69,0.0,-10.05,-7.6,-17.52,-12.96,-12.91
0400117,0.29,0.35,-0.31,-7.64,-7.4,0.0,-17.22,-19.93,-27.19,-11.98,-19.16
0400118,0.46,0.52,-3.23,-14.31,-6.15,0.0,-11.69,-7.4,-0.34,-11.62,-4.07
0400119,0.57,0.64,-27.62,-15.73,-13.59,,-6.97,-7.43,-9.16,-9.04,-4.88
0400120,0.23,0.26,-9.83,-27.26,-0.05,,-18.33,-22.58,-2.45,-9.19,-14.05
0400121,0.52,0.57,-2.56,-17.83,-11.12,0.0,-11.22,-8.38,-5.28,-5.06,-3.46
0400122,0.63,0.72,-12.31,-17.7,-9.23,,-10.56,-10.97,-8.98,-8.68,-4.25
0400123,0.63,0.71,-9.43,0.0,-7.12,,-11.12,-10.84,-4.08,-12.72,-7.32
0400124,0.53,0.6,0.0,-17.96,-4.86,,-11.64,-12.27,-15.73,-9.67,-2.54
0400125,0.51,0.57,-0.04,-11.31,-0.09,,-12.8,-9.77,-13.86,-11.83,-1.82
0400126,0.32,0.38,-38.03,-14.49,-13.58,0.0,-17.28,-12.73,-14.6,-24.78,-12.37
0400127,0.32,0.38,-7.66,-0.19,-24.39,0.0,-14.12,-5.09,-5.42,-20.46,-5.97
0400128,0.29,0.35,-13.67,-21.89,-38.52,0.0,-13.79,-10.4,-9.5,-18.32,-14.68
0400129,0.23,0.25,0.0,-27.48,-9.87,0.0,-7.58,-1.06,-15.17,-9.95,-7.62
0400130,0.33,0.4,-33.45,0.0,-16.03,0.0,-18.43,-8.52,-16.94,-22.77,-16.7
0400131,0.27,0.32,0.0,-4.74,-4.69,,-15.89,-12.05,-19.24,-15.92,-17.95
0400132,0.26,0.31,-8.28,-4.42,-9.64,0.0,-11.18,-16.23,-9.35,-12.19,-5.23
0400133,0.45,0.49,0.0,-27.04,-0.12,0.0,-9.05,-7.95,-21.67,-9.68,-11.15
0400134,0.24,0.32,-16.02,-0.08,-15.32,0.0,-27.55,-25.51,-26.12,-20.77,-17.28
0400135,0.16,0.18,-22.37,-7.16,0.0,,-9.34,-17.52,-17.7,-15.32,-2.08
0400400,0.49,0.57,-1.48,0.0,0.0,0.0,-15.74,-12.85,-17.94,-17.07,-9.23
0400500,0.45,0.52,-12.39,-21.53,-28.72,0.0,-15.8,-13.38,-10.37,-14.97,-10.24
0400601,0.42,0.53,-13.59,-36.07,-11.82,-100.0,-20.77,-17.19,-32.6,-22.51,-16.85
0400602,0.42,0.53,-13.6,-36.03,-11.77,-100.0,-20.77,-17.19,-32.59,-22.51,-16.85
0400701,0.47,0.55,-10.95,-7.48,-7.02,-100.0,-15.88,-10.73,-18.52,-17.97,-11.72
0400803,0.29,0.36,-26.81,0.0,0.0,,-18.94,-15.68,-12.79,-18.68,-13.75
0400805,0.36,0.43,-14.81,-10.85,0.0,0.0,-19.86,-12.1,-23.89,-24.0,-15.76
0400807,0.43,0.49,-7.78,-15.52,-10.31,-100.0,-15.42,-10.19,-13.4,-15.48,-8.02
0400900,0.44,0.51,0.0,-32.39,-25.89,,-13.13,-8.84,-14.56,-15.83,-9.29
0401000,0.58,0.65,-7.22,0.0,0.0,0.0,-15.34,-11.93,-7.72,-9.02,-5.04
0401101,0.48,0.55,-10.07,0.0,-6.54,,-14.59,-10.18,-15.3,-16.47,-10.2
0401901,0.42,0.49,-18.13,-23.39,-29.46,,-15.11,-15.61,-29.47,-14.85,-11.09
0401902,0.35,0.4,-0.48,-0.5,-14.04,,-11.69,-10.64,-15.9,-17.99,-11.45
0401903,0.25,0.29,-9.17,-9.44,-2.37,,-15.38,-20.19,-6.53,-15.17,-8.76
0401904,0.18,0.22,-4.39,-9.6,-26.65,,-20.68,-12.18,-32.79,-18.33,-13.35
0401905,0.29,0.34,-10.6,-14.92,-16.37,,-14.96,-4.01,-13.58,-22.41,-12.86
0401906,0.41,0.5,-20.37,-13.41,-11.15,0.0,-18.73,-10.92,-23.2,-23.74,-11.56
0401907,0.48,0.59,-15.17,-9.93,-6.23,0.0,-19.08,-16.61,-21.15,-18.55,-10.24
0401908,0.59,0.66,-19.37,-7.82,-20.26,,-11.1,-9.83,-5.52,-10.3,-6.73
0401909,0.4,0.48,-9.97,-12.87,-19.56,0.0,-17.2,-14.91,-14.11,-19.29,-15.93
0402502,0.36,0.43,-11.24,-7.89,-40.36,0.0,-16.57,-3.3,-18.1,-17.97,-14.1
0402503,0.36,0.43,-11.27,-7.88,-40.35,0.0,-16.57,-3.34,-18.09,-17.97,-14.09
0500101,0.29,0.35,-12.92,-0.23,-0.41,0.0,-17.88,-18.43,-20.31,-22.86,-15.02
0500102,0.29,0.34,-12.78,0.0,0.0,0.0,-17.83,-18.48,-20.08,-22.82,-15.01
0500201,0.36,0.46,-24.77,-19.81,-9.38,0.0,-21.11,-11.98,-38.17,-25.94,-17.46
0500202,0.36,0.46,-24.72,-19.69,-9.34,0.0,-21.11,-11.98,-38.15,-25.95,-17.46
0500300,0.46,0.55,-17.53,0.0,0.0,,-17.3,-8.16,-30.25,-23.31,-17.79
0500400,0.53,0.6,-9.12,0.0,-0.16,0.0,-12.62,-7.19,-11.62,-16.11,-10.02
0500500,0.47,0.55,-26.78,0.0,-0.45,0.0,-15.16,-18.37,-16.04,-22.31,-12.86
0500600,0.56,0.63,-12.28,0.0,-6.45,,-15.4,-20.96,-17.97,-13.07,-7.3
0500700,0.48,0.55,-25.12,0.0,-3.76,,-15.4,-19.6,-16.66,-20.28,-11.85
0500800,0.46,0.54,-2.2,0.0,-12.42,,-14.91,-3.66,-6.27,-20.19,-15.26
0500900,0.38,0.46,-6.68,-0.08,-11.53,,-19.34,-32.09,-14.23,-19.98,-9.45
0501000,0.51,0.6,-12.47,-5.08,-3.55,0.0,-15.83,-3.87,-18.4,-21.36,-15.76
0501100,0.49,0.55,-5.65,-3.94,-7.72,,-14.3,-5.37,-27.23,-15.3,-12.0
0501200,0.49,0.58,-20.27,-37.43,-10.17,,-17.15,-11.75,-12.7,-17.17,-10.71
0501300,0.45,0.53,-23.27,-12.1,-10.34,,-17.28,-4.23,-18.38,-23.1,-8.43
0501400,0.33,0.41,-5.9,-2.97,-28.2,0.0,-19.01,-8.85,-7.32,-16.65,-16.37
0501501,0.39,0.48,0.0,-26.48,-17.07,,-18.24,-9.55,-26.24,-18.29,-15.85
0501502,0.36,0.44,-12.8,-15.75,-16.86,,-17.17,-0.36,-28.71,-17.36,-12.73
0501600,0.48,0.55,0.0,-24.11,-9.42,,-14.78,-31.56,-9.89,-16.75,-12.73
0501700,0.48,0.57,-13.51,-84.56,-11.26,,-20.22,-2.97,-10.38,-14.46,-12.18
0502800,0.46,0.55,-33.33,0.0,0.0,,-17.19,-20.0,-33.33,-22.58,-20.69
0600101,0.29,0.32,-1.11,-9.65,-7.85,0.0,-7.89,-4.32,-0.25,-11.36,-4.47
0600111,0.41,0.44,-0.33,-5.46,-4.85,0.0,-10.1,-7.22,-17.49,-7.09,-5.47
0600112,0.23,0.26,-28.64,-18.04,-13.99,0.0,-9.0,-21.33,-7.5,-11.73,-10.84
0600113,0.5,0.55,-11.12,-11.61,-6.17,0.0,-5.11,-11.22,-3.64,-14.4,-3.75
0600114,0.35,0.39,-19.2,-6.16,-7.4,0.0,-8.49,-8.37,-1.36,-10.57,-9.84
0600115,0.37,0.39,-13.96,-8.54,-2.88,0.0,-1.7,-2.35,0.0,-3.51,-3.41
0600116,0.42,0.46,-1.94,-7.51,-7.92,0.0,-6.04,-3.77,-17.57,-10.09,-5.85
0600117,0.29,0.32,0.0,-6.06,0.0,0.0,-9.47,-9.5,-3.32,-5.91,-4.4
0600118,0.26,0.28,0.0,-4.51,-4.01,0.0,-10.33,-9.97,-5.21,-9.23,-7.34
0600119,0.2,0.22,-36.65,-4.09,-11.42,,-11.71,-9.26,0.0,-10.97,-6.16
0600120,0.2,0.22,-36.63,-4.08,-11.53,,-11.72,-9.31,0.0,-10.95,-6.15
0600121,0.24,0.26,0.0,-3.84,-5.71,0.0,-10.76,-10.4,-5.98,-10.65,-8.55
0600122,0.41,0.45,-3.89,-7.65,-7.2,0.0,-5.4,-3.58,-13.91,-9.13,-5.46
0600123,0.46,0.49,-3.11,-6.08,-5.11,0.0,-8.72,-9.15,-12.18,-9.24,-4.64
0600300,0.37,0.44,-12.21,-3.17,0.0,,-15.76,-13.49,-11.22,-17.02,-18.02
0600700,0.46,0.49,-13.8,-2.06,0.0,-72.5,-8.09,-5.32,-15.83,-9.69,-5.17
0601100,0.54,0.57,-11.82,0.0,0.0,0.0,-6.32,-4.45,-8.13,-9.03,-5.58
0601301,0.51,0.54,-0.06,-5.73,-0.69,0.0,-8.33,-5.52,0.0,-10.68,-4.75
0601305,0.15,0.16,0.0,-5.72,-22.43,0.0,-9.29,-6.43,-1.01,-12.7,-0.23
0601308,0.45,0.51,-5.37,-10.93,-15.71,0.0,-11.35,-8.77,-20.54,-14.94,-11.28
0601309,0.31,0.33,-0.24,-6.51,-5.31,0.0,-8.31,-9.0,-5.85,-13.75,-2.49
0601310,0.35,0.36,-5.19,-2.16,-1.51,0.0,-5.79,-3.05,0.0,-5.08,-2.52
0601311,0.35,0.38,0.0,-3.47,-6.23,0.0,-8.38,-3.48,0.0,-9.47,-7.11
0601312,0.16,0.18,0.0,-3.91,-0.49,,-12.92,-28.27,-21.59,-5.29,-6.99
0601313,0.28,0.31,0.0,-1.28,-2.94,0.0,-12.86,-5.91,-8.5,-13.24,-9.44
0601314,0.5,0.52,0.0,-0.07,-5.71,0.0,-4.56,-3.42,-0.47,-2.76,-0.76
0601500,0.45,0.51,-3.22,-6.42,0.0,0.0,-11.78,-0.24,-14.43,-16.72,-8.99
0601700,0.31,0.33,0.0,-3.77,0.0,0.0,-6.57,-1.18,-4.77,-8.63,-5.39
0601901,0.68,0.73,0.0,-7.52,0.0,,-8.16,-4.15,0.0,-10.71,-3.82
0601902,0.38,0.42,0.0,-6.31,-0.08,0.0,-11.1,-4.2,-5.49,-11.46,-8.05
0601903,0.64,0.7,0.0,-1.27,0.0,0.0,-12.62,-6.13,-3.9,-9.98,-4.15
0601904,0.67,0.71,0.0,-5.38,-8.05,0.0,-4.84,-3.14,-10.42,-6.11,-5.23
0601905,0.63,0.68,0.0,-7.08,0.0,,-7.12,-7.39,-6.11,-5.03,-3.33
0601906,0.32,0.37,-0.08,-13.36,-11.41,,-13.71,-12.34,-18.59,-11.52,-9.84
0601907,0.5,0.55,-25.63,0.0,0.0,0.0,-11.54,-8.02,-5.39,-15.16,-10.42
0602300,0.51,0.57,-9.7,-12.08,-23.06,0.0,-9.96,-17.38,-3.21,-10.16,-8.74
0602500,0.64,0.66,0.0,0.0,0.0,0.0,-6.32,-2.92,-5.31,-4.37,-3.63
0602903,0.67,0.73,0.0,0.0,-11.35,0.0,-9.09,-7.2,-2.85,-14.66,-9.4
0602904,0.76,0.8,0.0,0.0,-2.64,0.0,-6.34,-5.04,0.0,-4.11,-3.49
0602905,0.47,0.56,-6.39,0.0,-15.76,0.0,-15.38,-11.95,-26.37,-15.88,-11.2
0602906,0.54,0.61,0.0,-4.48,0.0,,-12.1,-13.33,-12.76,-11.28,-5.16
0602907,0.45,0.5,0.0,-5.39,-8.02,,-10.83,-10.71,-10.0,-12.23,-6.82
0602908,0.41,0.45,0.0,-5.99,-8.83,,-10.18,-8.74,-9.48,-12.64,-7.41
0603100,0.5,0.56,-11.33,-19.62,-22.58,0.0,-11.11,-9.75,-12.2,-14.86,-8.81
0603300,0.52,0.55,-3.47,-11.23,0.0,0.0,-5.4,-3.92,-11.92,-7.08,-4.15
0603703,0.49,0.54,0.0,0.0,-5.74,0.0,-13.56,-9.7,-2.25,-16.36,-4.09
0603704,0.54,0.58,0.0,-3.56,-3.87,0.0,-8.12,-7.67,-5.98,-4.83,-4.21
0603705,0.38,0.41,0.0,-0.88,-5.3,,-10.59,-7.96,0.0,-8.18,-3.49
0603706,0.49,0.53,0.0,-5.97,-4.83,0.0,-9.42,-6.13,-10.53,-11.77,-6.67
0603707,0.63,0.67,0.0,-24.07,-16.18,,-4.66,-4.77,0.0,-3.81,-2.74
0603708,0.58,0.61,-15.14,-6.64,-2.72,,-6.0,-6.02,-12.75,-7.5,-3.53
0603709,0.23,0.28,-37.56,-18.63,-23.55,,-22.63,-14.44,0.0,-9.2,-10.26
0603710,0.5,0.54,-9.32,-7.15,-0.51,-2.22,-7.87,-9.86,-9.16,-10.09,-7.43
0603711,0.32,0.36,-24.07,-1.3,-18.01,-9.83,-11.69,-15.35,-15.1,-12.35,-11.52
0603712,0.6,0.62,-0.16,-3.27,-8.05,0.0,-5.77,-4.01,-0.49,-7.09,-6.55
0603713,0.39,0.44,-22.4,-1.02,-0.2,,-11.58,-13.82,-3.99,-11.67,-11.12
0603714,0.41,0.43,0.0,-6.45,-0.55,0.0,-8.96,-6.21,-8.43,-8.75,-4.03
0603715,0.52,0.55,-2.53,-1.08,-2.05,,-8.73,-6.59,-6.13,-6.75,-3.03
0603716,0.57,0.62,-5.73,-7.02,0.0,,-4.63,-9.02,-3.77,-7.47,-7.45
0603717,0.43,0.49,-34.3,-14.42,-25.36,0.0,-14.89,-11.53,-18.43,-11.85,-5.54
0603718,0.33,0.36,0.0,-10.54,-12.82,,-6.52,-6.34,-1.49,-9.94,-9.43
0603719,0.44,0.49,-0.41,-13.7,-37.54,,-9.46,-8.41,-13.3,-7.34,-3.48
0603720,0.39,0.41,0.0,-5.43,-5.58,0.0,-6.54,-10.06,-12.29,-3.5,-2.77
0603721,0.53,0.57,-4.73,0.0,0.0,0.0,-6.55,-7.46,-9.19,-10.61,-1.41
0603722,0.53,0.58,-9.98,-3.46,-1.34,,-10.41,-4.46,-10.28,-11.34,-6.87
0603723,0.61,0.66,0.0,-6.0,0.0,,-9.13,-5.72,-32.91,-7.77,-0.81
0603724,0.41,0.44,-4.3,-7.0,0.0,,-8.81,-6.14,-10.49,-6.48,-2.93
0603725,0.43,0.47,-14.83,-4.28,-16.48,0.0,-7.73,-4.05,-20.08,-6.65,-5.57
0603728,0.29,0.33,-7.97,-6.17,-27.39,,-13.84,-16.09,-23.38,-9.73,-6.91
0603730,0.4,0.46,-27.15,-7.27,-18.72,-100.0,-12.46,-11.94,-15.89,-13.13,-14.78
0603731,0.29,0.33,-42.42,-11.86,-34.62,,-8.47,-1.91,-9.7,-4.33,-1.18
0603732,0.51,0.54,0.0,-12.74,-9.91,0.0,-3.76,-5.04,0.0,-2.96,-7.2
0603733,0.61,0.66,-5.82,-13.25,0.0,0.0,-4.18,-5.05,-39.52,-6.95,-1.23
0603734,0.55,0.59,-10.42,-2.39,-10.26,,-5.99,-7.06,-7.01,-4.23,-3.78
0603735,0.46,0.5,-5.84,-10.91,-30.5,0.0,-10.23,-8.68,-6.4,-8.42,-5.07
0603736,0.41,0.44,-29.65,-8.74,-0.31,0.0,-12.82,-12.18,-0.09,-4.98,-4.94
0603737,0.57,0.61,0.0,-7.0,0.0,,-11.04,-6.41,0.0,-5.82,-4.91
0603738,0.7,0.74,0.0,-6.38,0.0,0.0,-4.22,-4.22,0.0,-5.13,-1.95
0603739,0.32,0.39,-3.94,-12.22,-0.16,0.0,-11.99,-20.6,-13.11,-17.74,-14.44
0603740,0.55,0.58,-13.88,-3.62,0.0,,-7.73,-5.94,-12.13,-6.49,-5.17
0603741,0.75,0.77,-9.11,0.0,0.0,,-2.79,-3.26,0.0,-3.73,-1.96
0603742,0.74,0.78,-0.18,-26.9,0.0,,-6.22,-6.13,0.0,-3.91,-2.77
0603743,0.69,0.72,0.0,-1.58,0.0,,-5.24,-3.55,0.0,-4.03,-5.35
0603744,0.59,0.63,-17.98,-5.29,-18.0,0.0,-6.27,-5.08,-6.58,-5.37,-3.19
0603745,0.8,0.86,-19.75,0.0,-14.09,-100.0,-2.83,-5.72,0.0,-3.94,-5.28
0603746,0.74,0.77,-4.84,-4.08,-4.16,,-3.36,-2.91,-14.25,-2.85,-3.93
0603747,0.53,0.56,0.0,-5.7,-3.81,0.0,-7.44,-8.08,-5.91,-7.05,-7.33
0603748,0.24,0.27,0.0,-8.98,-2.49,0.0,-14.0,-17.23,0.0,-14.28,-9.36
0603750,0.74,0.79,-7.77,0.0,-7.64,0.0,-3.99,-4.32,-8.29,-4.3,-3.78
0603751,0.83,0.86,0.0,0.0,-0.52,0.0,-4.11,-4.42,-5.7,-2.12,-1.82
0603752,0.67,0.72,-13.06,-35.36,-4.99,0.0,-8.34,-6.55,-6.67,-4.67,-1.17
0603753,0.5,0.53,0.0,-7.99,0.0,,-4.05,-4.74,0.0,-4.02,0.0
0603754,0.39,0.43,0.0,-20.88,-6.33,0.0,-10.62,-4.88,-11.51,-8.26,-5.29
0603757,0.61,0.66,0.0,-0.21,-4.99,,-12.48,-8.41,0.0,-3.95,-4.54
0603758,0.54,0.59,-6.2,-10.26,-7.19,-100.0,-12.33,-4.66,-17.62,-11.78,-7.99
0603759,0.57,0.61,-0.09,-2.25,-7.11,,-6.1,-6.35,-15.43,-6.42,-6.01
0603760,0.18,0.19,0.0,-18.79,0.0,0.0,-8.41,-6.97,-16.23,-12.82,-7.01
0603761,0.25,0.29,0.0,-6.7,-6.79,0.0,-15.45,-14.51,-0.09,-11.12,-8.23
0603762,0.44,0.46,-17.5,-4.51,-1.9,0.0,-10.6,-3.79,-19.88,-8.39,-4.2
0603763,0.49,0.53,-5.6,-7.99,-9.28,0.0,-14.3,-10.59,-7.73,-6.52,-4.31
0603764,0.38,0.41,-6.05,-5.62,-16.07,0.0,-11.43,-2.33,-15.28,-10.22,-2.19
0603766,0.6,0.64,-15.09,-0.03,-2.06,,-8.84,-8.84,-16.1,-8.87,-2.82
0603767,0.46,0.53,-2.84,-14.84,-23.73,,-13.9,-8.84,-19.81,-16.54,-11.85
0603768,0.24,0.28,0.0,-6.85,0.0,,-13.86,-11.71,-13.49,-16.37,-13.35
0603770,0.33,0.37,-5.02,-13.61,-10.69,0.0,-8.94,-8.79,-4.4,-11.68,-12.59
0603771,0.35,0.4,-37.03,-6.34,-28.78,0.0,-12.06,-12.67,-21.19,-13.56,-9.62
0603772,0.31,0.34,-1.5,-7.22,-3.43,0.0,-10.64,-9.21,-9.05,-5.94,-4.23
0603773,0.35,0.39,-31.93,-6.41,-24.3,0.0,-11.85,-12.14,-19.65,-12.44,-8.97
0603774,0.27,0.31,-7.14,-7.27,-1.82,0.0,-11.97,-2.29,-8.09,-13.42,-11.47
0603775,0.25,0.3,-25.41,-7.8,-6.45,,-16.27,-5.64,-19.9,-24.71,-13.42
0603776,0.33,0.37,-5.09,-13.63,-10.59,0.0,-8.97,-8.81,-4.34,-11.67,-12.57
0603778,0.51,0.57,-34.1,0.0,-12.11,,-3.62,-7.33,-8.58,-10.33,-5.86
0603779,0.22,0.27,-0.13,-18.77,-9.91,0.0,-20.08,-17.88,-3.55,-27.63,-23.91
0603780,0.44,0.49,-22.17,-13.12,-2.41,0.0,-7.64,-11.02,-3.32,-12.7,-9.2
0603781,0.57,0.59,0.0,-2.08,-8.93,,-1.8,-2.24,0.0,-3.25,-2.71
0603782,0.59,0.63,0.0,-11.35,-10.81,-100.0,-3.53,-3.62,-6.77,-6.09,-2.95
0603900,0.53,0.58,0.0,-3.06,0.0,,-9.64,-7.91,-6.67,-5.34,-8.16
0604103,0.28,0.33,0.0,-0.51,-0.12,0.0,-13.6,-16.05,0.0,-22.54,-10.04
0604104,0.22,0.26,0.0,-25.39,-17.49,0.0,-13.36,-4.97,0.0,-22.45,-13.54
0604701,0.64,0.68,-24.2,-6.79,0.0,,-4.84,-6.94,-2.49,-4.72,-4.1
0604702,0.57,0.6,0.0,-1.12,-7.85,0.0,-6.77,-4.67,-5.75,-4.66,-5.3
0605301,0.34,0.38,-34.49,-14.09,-18.45,0.0,-15.22,-3.75,-25.7,-13.86,-9.48
0605302,0.57,0.6,-6.84,0.0,0.0,0.0,-6.16,-4.24,0.0,-6.4,-2.78
0605303,0.43,0.47,0.0,0.0,0.0,,-8.31,-8.23,-37.52,-14.81,-7.42
0605500,0.33,0.38,0.0,-16.72,-7.09,-20.13,-15.73,-8.01,-16.44,-17.25,-18.0
0605700,0.38,0.41,0.0,0.0,,,-7.04,0.0,-6.94,-9.8,-10.66
0605906,0.32,0.35,-24.3,-1.45,-19.82,,-10.67,-13.74,-2.31,-8.62,-8.14
0605907,0.38,0.42,-0.51,-5.05,0.0,0.0,-9.81,-7.43,-13.29,-15.02,-5.57
0605908,0.34,0.38,-18.65,-8.85,-3.35,0.0,-12.28,-4.74,-27.14,-14.6,-9.01
0605909,0.54,0.6,0.0,-4.16,-2.75,,-10.96,-11.2,0.0,-3.46,-3.22
0605912,0.57,0.6,-27.04,-4.48,-25.69,-100.0,-7.42,-4.26,-2.62,-5.71,-4.71
0605913,0.57,0.62,0.0,-4.49,0.0,0.0,-11.47,-8.38,-8.21,-10.45,-3.51
0605914,0.3,0.33,-12.71,-26.22,0.0,-84.14,-8.56,-10.26,-20.26,-13.17,-7.5
